GlobalLeftX,GlobalLeftY,GlobalRightX,GlobalRightY
23201,11651,23327,11759
23290,11740,23452,11859
23230,12030,23415,12178
23021,12026,23217,12173
27212,11823,27436,12083
27334,11786,27571,12043
26810,11689,26989,11919
26906,11496,27511,11828
27254,11551,27056,11958
26868,11718,27350,12102
27146,11791,27384,12052
27159,11758,27406,12016
26888,11628,27074,11880
26843,11607,27020,11845
27085,12000,27329,12255
27226,11919,27458,12173
27063,11515,27279,11803
26701,11401,26909,11677
26696,11545,26901,11805
26665,11619,27261,11898
26718,11835,26950,12110
26686,11913,26927,12204
26963,11924,27151,12140
5861,11489,5794,11425
5761,11692,5695,11621
5827,11602,5763,11550
5921,11567,5872,11504
5977,11441,5932,11384
6096,11497,6049,11444
6080,11525,6037,11473
5993,11622,5941,11560
6055,11603,6008,11541
6069,11681,6016,11629
5760,11862,5699,11807
5548,12188,5497,12069
5304,12068,5247,11955
5427,11744,5367,11679
5401,11868,5342,11796
6119,11995,6050,11928
6126,12037,6057,11987
6111,12157,6048,12079
5590,12242,5540,12131
5215,12183,5145,12052
5425,11581,5369,11505
5630,11651,5537,11567
6013,11377,5966,11320
6131,11428,6083,11386
5640,11488,5579,11412
5433,11337,5386,11295
5867,11394,5883,11332
6679,11717,6628,11686
6709,11661,6649,11635
6756,11568,6703,11544
6904,11630,6862,11577
6897,11683,6860,11636
6849,11674,6802,11619
6791,11984,6743,11950
7069,11843,7029,11792
7110,11908,7064,11842
6855,12039,6573,12106
6558,12131,6499,12078
6409,11669,6349,11619
6437,11595,6363,11550
6992,11915,6949,11864
7011,11962,6972,11902
6821,11798,6774,11737
6791,11452,6743,11412
6847,12225,6792,12174
6331,12052,6279,12000
7439,11843,7383,11819
7433,11947,7378,11939
7428,12057,7382,12026
7963,11957,7919,11960
7960,12061,7913,12039
7960,11855,7918,11840
7692,11843,7653,11828
7685,11948,7645,11941
7691,12058,7657,12044
8065,11873,8024,11864
8090,11691,8057,11670
8111,11563,8090,11535
7387,11588,7326,11554
7333,11848,7267,11817
7314,11931,7247,11900
7353,12033,7258,12036
7695,12194,7382,12138
7956,12200,7918,12164
7386,11527,7336,11460
8072,11421,8030,11390
8781,12112,8785,12084
8709,12124,8703,12098
8849,11746,8783,11717
8610,11744,8568,11690
8656,12066,8627,12043
8520,12126,8474,12086
8701,12243,8682,12203
9008,12225,8980,12185
9020,12106,8998,12086
8912,11750,8871,11724
8819,11713,8776,11692
8837,11831,8785,11801
8778,11940,8724,11910
8405,11962,8353,11938
8401,12042,8353,11995
8576,11637,8533,11608
8826,11616,8785,11609
9019,11755,8973,11737
8596,11924,8535,11904
8702,11816,8644,11786
10792,12564,10784,12573
10514,12470,10501,12486
10431,12737,10428,12695
10757,12670,10743,12665
10401,12925,10386,12883
10699,12968,10684,12925
10400,12967,10389,12918
10698,13008,10689,12961
11087,13078,11156,13068
10828,12413,10852,12427
10851,12340,10893,12349
11102,12510,11109,12517
11104,12671,11116,12689
10931,13055,10940,13016
10510,12596,10500,12596
10515,12312,10501,12316
11759,13268,11802,13238
11525,13177,11514,13131
11485,13255,11477,13217
11454,13186,11411,13139
11976,12993,11937,12986
11557,12831,11497,12830
11569,12796,11523,12792
11627,12698,11609,12695
11411,13248,11373,13195
11683,13223,11693,13186
11410,13129,11394,13087
11882,12785,11855,12791
11362,12601,11317,12589
11387,12539,11332,12513
11665,12633,11656,12629
12089,12863,12074,12866
11882,12909,11852,12914
12139,13004,12126,13013
12047,12777,12021,12779
11483,12643,11446,12636
19066,13160,19203,13244
18964,13148,19077,13229
19006,13134,19148,13203
18945,13175,19058,13265
18499,12994,18615,13113
18515,12967,18648,13074
19045,12615,19177,12696
19125,12638,19263,12754
19133,12527,19268,12655
19193,12455,19341,12574
19144,12447,19276,12567
19106,12854,19242,12990
19011,12864,19118,13010
18658,12627,18800,12713
18539,12486,18703,12544
18517,12627,18663,12721
19014,12404,19188,12547
18761,13073,18890,13163
18754,13097,18881,13202
18589,12782,18721,12894
19550,12546,19706,12657
19560,12719,19725,12826
19729,12695,19881,12800
19539,12688,19678,12791
19801,12697,19950,12810
20022,12732,20178,12823
19994,12556,20126,12667
19724,12552,19876,12649
19542,12881,19710,12983
19554,12417,19712,12515
19743,12411,19913,12465
20009,12433,20173,12515
20114,12572,20253,12690
19741,12889,19894,13040
20027,12860,20178,12932
20018,13014,20171,13084
20018,13157,20175,13223
19531,13124,19699,13235
19834,12556,19981,12659
19940,12718,20096,12803
21048,12485,21212,12592
21051,12521,21220,12633
20697,12449,20858,12549
20697,12479,20844,12580
20880,12486,21019,12589
20880,12514,21017,12629
21046,12603,21220,12710
20948,12800,21117,12929
20517,12776,20678,12868
20924,13001,21094,13116
20965,13103,21113,13215
21086,12481,21252,12584
20700,12592,20830,12678
21313,12624,21480,12741
22688,12478,22872,12604
22606,12513,22784,12640
22679,12590,22861,12716
22778,12815,22940,12947
22907,12948,23087,13076
22919,12589,23092,12720
23013,12589,23196,12721
23204,12476,23387,12600
23262,12587,23423,12715
23147,12811,23322,12947
23294,12946,23454,13073
23348,12809,23521,12946
22886,12476,23065,12604
22886,12347,23062,12453
23235,12345,23418,12452
23234,12702,23383,12799
23116,13040,23306,13175
23024,12699,23210,12842
23347,12521,23520,12643
23304,12383,23500,12486
23710,12937,23891,13107
23658,12983,23828,13155
23746,13083,23923,13244
23827,12929,24006,13097
23996,12802,24151,12952
24157,12953,24336,13084
23877,12573,24061,12705
23953,12659,24122,12800
23751,12414,23949,12564
23614,12703,23771,12824
23615,12825,23764,12952
23938,12923,24127,13101
28323,12700,28558,12971
28141,12627,28392,12900
28073,12611,28308,12871
28045,12507,28279,12763
28022,12430,28253,12711
28061,12371,28309,12641
28102,12396,28347,12666
28153,12312,28416,12570
28072,12476,28311,12746
27998,12472,28231,12737
27947,12536,28186,12804
27951,12686,28191,12954
27951,12774,28188,13045
27860,12963,28081,13231
27981,12643,28648,12920
28258,12482,28506,12782
28133,12507,28348,12816
27784,12464,28024,12713
29182,12689,29429,12986
29047,12707,29293,12964
28946,12851,29178,13113
28869,12856,29119,13137
28734,12808,28916,13076
28701,12674,28954,12933
28787,12534,29048,12811
28954,12315,29250,12585
29063,12858,29321,13138
29204,12801,29462,13092
29000,12972,29252,13255
28816,12915,29055,13181
28726,12848,28947,13114
28765,12973,29010,13244
28685,12920,28890,13186
28747,13009,28991,13274
28684,12970,28928,13246
28706,12946,28950,13221
28953,12643,29189,12918
29157,12542,29399,12822
29214,12469,29457,12750
29344,12648,29584,12935
29381,12591,29644,12869
7148,12518,7085,12461
7115,12741,7061,12650
7131,12622,7072,12548
7106,12778,7044,12688
7087,12873,7042,12755
7084,12933,7031,12820
6978,12935,6901,12831
7058,12856,6985,12731
6950,12784,6860,12689
6852,12740,6747,12628
6708,12845,6642,12730
6435,12688,6364,12575
6619,12762,6554,12647
6656,12617,6609,12536
6507,12580,6433,12486
6326,12509,6252,12411
6401,12510,6326,12410
6787,12639,6739,12549
6264,12675,6178,12571
6839,12699,6761,12595
7576,12367,7527,12328
7587,12783,7507,12705
7547,12594,7486,12512
7958,12725,7869,12653
7883,12876,7815,12797
7883,12920,7826,12828
7588,12949,7508,12862
7695,12951,7613,12863
7373,12845,7317,12763
7377,12807,7314,12714
7941,12371,7852,12342
8041,12926,8011,12818
7494,12982,7397,12888
7349,12941,7255,12848
7748,12365,7690,12335
7769,12755,7685,12680
7585,12831,7505,12750
7788,12923,7721,12828
7957,12779,7869,12706
7562,12472,7503,12411
7570,12679,7504,12600
8650,12609,8601,12546
8682,12599,8628,12542
8792,12592,8742,12539
8783,12646,8731,12589
8632,12461,8577,12396
8661,12455,8607,12389
8682,12661,8580,12603
8530,12638,8473,12569
8527,12693,8471,12629
8914,12623,8878,12575
8912,12676,8879,12614
8641,12863,8573,12782
8782,12847,8733,12774
9048,12862,8970,12779
8357,12894,8290,12808
8275,12735,8210,12653
8384,12661,8335,12597
8641,12528,8586,12470
8671,12522,8618,12460
9614,12805,9592,12756
9661,12870,9622,12824
9696,12878,9665,12834
9758,12449,9722,12423
9787,12353,9760,12348
9786,12452,9758,12433
9661,12763,9626,12700
9733,12557,9693,12528
9905,12933,9864,12877
9742,13031,9694,12962
9573,12972,9522,12908
9358,12906,9328,12849
9352,12786,9322,12730
9450,12767,9404,12708
9924,12894,9901,12839
10095,12968,10061,12912
9999,13032,9994,12973
10096,12915,10057,12865
9756,12561,9724,12531
9713,12773,9675,12709
12911,13693,12914,13666
12956,13650,12960,13624
12992,13658,12993,13633
13078,13382,13092,13407
13053,13377,13060,13391
12946,13585,12943,13550
12957,13532,12971,13503
12779,13646,12768,13597
12749,13714,12737,13675
12886,13771,12903,13727
12633,13667,12625,13624
12443,13604,12481,13567
12472,13526,12508,13495
12657,13581,12648,13546
13050,13740,13062,13712
13095,13845,13129,13808
13208,13797,13234,13773
13129,13712,13138,13688
12838,13489,12811,13466
12809,13542,12794,13508
12807,13743,12805,13699
13157,13365,13184,13387
13847,14099,13860,14053
13866,14180,13894,14141
13929,14220,13948,14176
13936,14262,13962,14231
13986,14085,14016,14053
14011,14043,14035,14012
14110,13742,14123,13774
14037,14089,14059,14078
14016,14221,14033,14173
13610,14005,13635,13966
13632,13950,13665,13915
13750,13942,13788,13926
13822,13641,13834,13667
14276,14293,14279,14283
13389,13930,13410,13886
13510,13521,13526,13540
13599,13399,13646,13432
13995,13479,14028,13515
14100,13471,14119,13509
14096,13500,14118,13541
14200,13588,14265,13630
13957,13502,13979,13525
14669,13395,14794,13453
14901,13367,15015,13384
14710,13775,14905,13860
14913,14019,14955,14059
14668,13942,14710,13988
14532,13902,14559,13931
15199,14137,15246,14179
15027,13893,15196,13964
14392,14184,14418,14147
14560,14245,14606,14220
14825,14320,14863,14310
14550,14281,14593,14259
14370,14221,14395,14206
